Flavanoids,OD280/OD315 of diluted wines,Total phenols,Proline,Hue,Alcalinity,Proanthocyanins,Nonflavanoid phenols,Malic acid,Alcohol,Color intensity,Magnesium,Ash,Class
3.06,3.92,2.8,1065,1.04,15.6,2.29,0.28,1.71,14.23,5.64,127,2.43,1
2.76,3.4,2.65,1050,1.05,11.2,1.28,0.26,1.78,13.2,4.38,100,2.14,1
3.24,3.17,2.8,1185,1.03,18.6,2.81,0.3,2.36,13.16,5.68,101,2.67,1
3.49,3.45,3.85,1480,0.86,16.8,2.18,0.24,1.95,14.37,7.8,113,2.5,1
2.69,2.93,2.8,735,1.04,21,1.82,0.39,2.59,13.24,4.32,118,2.87,1
3.39,2.85,3.27,1450,1.05,15.2,1.97,0.34,1.76,14.2,6.75,112,2.45,1
2.52,3.58,2.5,1290,1.02,14.6,1.98,0.3,1.87,14.39,5.25,96,2.45,1
2.51,3.58,2.6,1295,1.06,17.6,1.25,0.31,2.15,14.06,5.05,121,2.61,1
2.98,2.85,2.8,1045,1.08,14,1.98,0.29,1.64,14.83,5.2,97,2.17,1
3.15,3.55,2.98,1045,1.01,16,1.85,0.22,1.35,13.86,7.22,98,2.27,1
3.32,3.17,2.95,1510,1.25,18,2.38,0.22,2.16,14.1,5.75,105,2.3,1
2.43,2.82,2.2,1280,1.17,16.8,1.57,0.26,1.48,14.12,5,95,2.32,1
2.76,2.9,2.6,1320,1.15,16,1.81,0.29,1.73,13.75,5.6,89,2.41,1
3.69,2.73,3.1,1150,1.25,11.4,2.81,0.43,1.73,14.75,5.4,91,2.39,1
3.64,3,3.3,1547,1.2,12,2.96,0.29,1.87,14.38,7.5,102,2.38,1
2.91,2.88,2.85,1310,1.28,17.2,1.46,0.3,1.81,13.63,7.3,112,2.7,1
3.14,2.65,2.8,1280,1.07,20,1.97,0.33,1.92,14.3,6.2,120,2.72,1
3.4,2.57,2.95,1130,1.13,20,1.72,0.4,1.57,13.83,6.6,115,2.62,1
3.93,2.82,3.3,1680,1.23,16.5,1.86,0.32,1.59,14.19,8.7,108,2.48,1
3.03,3.36,2.7,845,0.96,15.2,1.66,0.17,3.1,13.64,5.1,116,2.56,1
3.17,3.71,3,780,1.09,16,2.1,0.24,1.63,14.06,5.65,126,2.28,1
2.41,3.52,2.41,770,1.03,18.6,1.98,0.25,3.8,12.93,4.5,102,2.65,1
2.88,4,2.61,1035,1.11,16.6,1.69,0.27,1.86,13.71,3.8,101,2.36,1
2.37,3.63,2.48,1015,1.09,17.8,1.46,0.26,1.6,12.85,3.93,95,2.52,1
2.61,3.82,2.53,845,1.12,20,1.66,0.28,1.81,13.5,3.52,96,2.61,1
2.68,3.2,2.63,830,1.13,25,1.92,0.47,2.05,13.05,3.58,124,3.22,1
2.94,3.22,2.85,1195,0.92,16.1,1.45,0.34,1.77,13.39,4.8,93,2.62,1
2.19,2.77,2.4,1285,1.02,17,1.35,0.27,1.72,13.3,3.95,94,2.14,1
2.97,3.4,2.95,915,1.25,19.4,1.76,0.37,1.9,13.87,4.5,107,2.8,1
2.33,3.59,2.65,1035,1.04,16,1.98,0.26,1.68,14.02,4.7,96,2.21,1
3.25,2.71,3,1285,1.19,22.5,2.38,0.29,1.5,13.73,5.7,101,2.7,1
3.19,2.88,2.86,1515,1.09,19.1,1.95,0.22,1.66,13.58,6.9,106,2.36,1
2.69,2.87,2.42,990,1.23,17.2,1.97,0.42,1.83,13.68,3.84,104,2.36,1
2.74,3,2.95,1235,1.25,19.5,1.35,0.5,1.53,13.76,5.4,132,2.7,1
2.53,2.87,2.35,1095,1.1,19,1.54,0.29,1.8,13.51,4.2,110,2.65,1
2.98,3.47,2.7,920,1.04,20.5,1.86,0.26,1.81,13.48,5.1,100,2.41,1
2.68,2.78,2.6,880,1.09,15.5,1.36,0.34,1.64,13.28,4.6,110,2.84,1
2.43,2.51,2.45,1105,1.12,18,1.44,0.29,1.65,13.05,4.25,98,2.55,1
2.64,2.69,2.4,1020,1.18,15.5,1.37,0.28,1.5,13.07,3.7,98,2.1,1
3.04,3.53,3,760,0.89,13.2,2.08,0.2,3.99,14.22,5.1,128,2.51,1
3.29,3.38,3.15,795,0.95,16.2,2.34,0.34,1.71,13.56,6.13,117,2.31,1
2.68,3,2.45,1035,0.91,18.8,1.48,0.27,3.84,13.41,4.28,90,2.12,1
3.56,3.56,3.25,1095,0.88,15,1.7,0.17,1.89,13.88,5.43,101,2.59,1
2.63,3,2.64,680,0.82,17.5,1.66,0.32,3.98,13.24,4.36,103,2.29,1
3,3.35,3,885,0.88,17,2.03,0.28,1.77,13.05,5.04,107,2.1,1
2.65,3.33,2.85,1080,0.87,18.9,1.25,0.3,4.04,14.21,5.24,111,2.44,1
3.17,3.44,3.25,1065,1.04,16,2.19,0.27,3.59,14.38,4.9,102,2.28,1
3.39,3.33,3.1,985,0.91,16,2.14,0.21,1.68,13.9,6.1,101,2.12,1
2.92,2.75,2.75,1060,1.07,18.8,2.38,0.32,2.02,14.1,6.2,103,2.4,1
3.54,3.1,2.88,1260,1.12,17.4,2.08,0.32,1.73,13.94,8.9,108,2.27,1
3.27,2.91,2.72,1150,1.12,12.4,2.91,0.17,1.73,13.05,7.2,92,2.04,1
2.99,3.37,2.45,1265,1.24,17.2,2.29,0.22,1.65,13.83,5.6,94,2.6,1
3.74,3.26,3.88,1190,1.01,14,1.87,0.32,1.75,13.82,7.05,111,2.42,1
2.79,2.93,3,1375,1.13,17.1,1.68,0.39,1.9,13.77,6.3,115,2.68,1
2.9,3.2,2.6,1060,0.92,16.4,1.62,0.21,1.67,13.74,5.85,118,2.25,1
2.78,3.03,2.96,1120,0.98,20.5,2.45,0.2,1.73,13.56,6.25,116,2.46,1
3,3.31,3.2,970,0.94,16.3,2.03,0.26,1.7,14.22,6.38,118,2.3,1
3.23,2.84,3,1270,1.07,16.8,1.66,0.31,1.97,13.29,6,102,2.68,1
3.67,2.87,3.4,1285,0.89,16.7,2.04,0.19,1.43,13.72,6.8,108,2.5,1
0.57,1.82,1.98,520,1.05,10.6,0.42,0.28,0.94,12.37,1.95,88,1.36,2
1.09,1.67,2.05,680,1.25,16,0.41,0.63,1.1,12.33,3.27,101,2.28,2
1.41,1.59,2.02,450,0.98,16.8,0.62,0.53,1.36,12.64,5.75,100,2.02,2
1.79,2.46,2.1,630,1.23,18,0.73,0.32,1.25,13.67,3.8,94,1.92,2
3.1,2.87,3.5,420,1.22,19,1.87,0.19,1.13,12.37,4.45,87,2.16,2
1.75,2.23,1.89,355,1.45,19,1.03,0.45,1.45,12.17,2.95,104,2.53,2
2.65,2.3,2.42,678,1.19,18.1,2.08,0.37,1.21,12.37,4.6,98,2.56,2
3.18,3.18,2.98,502,1.12,15,2.28,0.26,1.01,13.11,5.3,78,1.7,2
2,3.48,2.11,510,1.12,19.6,1.04,0.27,1.17,12.37,4.68,78,1.92,2
1.3,1.93,2.53,750,1.02,17,0.42,0.55,0.94,13.34,3.17,110,2.36,2
1.28,3.07,1.85,718,1.28,16.8,2.5,0.14,1.19,12.21,2.85,151,1.75,2
1.02,1.82,1.1,870,0.906,20.4,1.46,0.37,1.61,12.29,3.05,103,2.21,2
2.86,3.16,2.95,410,1.36,25,1.87,0.21,1.51,13.86,3.38,86,2.67,2
1.84,2.78,1.88,472,0.98,24,1.03,0.27,1.66,13.49,3.74,87,2.24,2
2.89,3.5,3.3,985,1.31,30,1.96,0.21,1.67,12.99,3.35,139,2.6,2
2.14,3.13,3.38,886,0.99,21,1.65,0.13,1.09,11.96,3.21,101,2.3,2
1.57,2.14,1.61,428,1.23,16,1.15,0.34,1.88,11.66,3.8,97,1.92,2
2.03,2.48,1.95,392,1.19,16,1.46,0.24,0.9,13.03,4.6,86,1.71,2
1.32,2.52,1.72,500,0.96,18,0.95,0.43,2.89,11.84,2.65,112,2.23,2
1.85,2.31,1.9,750,1.06,14.8,2.76,0.35,0.99,12.33,3.4,136,1.95,2
2.55,3.13,2.83,463,1.19,23,1.95,0.43,3.87,12.7,2.57,101,2.4,2
2.26,3.12,2.42,278,1.38,19,1.43,0.3,0.92,12,2.5,86,2,2
2.53,3.14,2.2,714,1.16,18.8,1.77,0.26,1.81,12.72,3.9,86,2.2,2
1.58,2.72,2,630,1.31,24,1.4,0.4,1.13,12.08,2.2,78,2.51,2
1.59,2.01,1.65,515,0.84,22.5,1.62,0.61,3.86,13.05,4.8,85,2.32,2
2.21,3.08,2.2,520,0.79,18,2.35,0.22,0.89,11.84,3.05,94,2.58,2
1.94,3.16,2.2,450,1.23,18,1.46,0.3,0.98,12.67,2.62,99,2.24,2
1.69,2.26,1.78,495,1.33,22.8,1.56,0.43,1.61,12.16,2.45,90,2.31,2
1.61,3.21,1.92,562,1.36,26,1.34,0.4,1.67,11.65,2.6,88,2.62,2
1.69,2.75,1.95,680,1,21.6,1.35,0.48,2.06,11.64,2.8,84,2.46,2
1.59,3.21,2.2,625,1.07,23.6,1.38,0.42,1.33,12.08,1.74,70,2.3,2
1.5,2.27,1.6,480,1.08,18.5,1.64,0.52,1.83,12.08,2.4,81,2.32,2
1.25,2.65,1.45,450,1.05,22,1.63,0.5,1.51,12,3.6,86,2.42,2
1.46,2.06,1.38,495,0.96,20.7,1.62,0.58,1.53,12.69,3.05,80,2.26,2
2.25,3.3,2.45,290,1.15,18,1.99,0.25,2.83,12.29,2.15,88,2.22,2
2.26,2.96,3.02,345,1.16,18,1.35,0.17,1.99,11.62,3.25,98,2.28,2
2.27,2.63,2.5,937,1.16,19,3.28,0.32,1.52,12.47,2.6,162,2.2,2
